,treino,previsto
gamma1,[0.9119047595432644],[0.8828733563423157]
gamma2,[0.8785568789303244],[0.882384181022644]
gamma3,[0.7237390145662357],[0.7210440039634705]
gamma4,[0.056007046220187706],[0.05901135504245758]
JXX,[0.8272859451097823],[0.8081720471382141]
JXY,[-0.7250439608255377],[-0.7426592707633972]
JXZ,[0.11214027252682701],[0.10361789911985397]
JYX,[-0.033955024334235695],[-0.015124929137527943]
JYY,[0.9179608298470616],[0.8891039490699768]
JYZ,[-0.23922049672899326],[-0.23351500928401947]
JZX,[-0.10699918374312611],[-0.10249081254005432]
JZY,[0.1547744383110674],[0.14803101122379303]
JZZ,[-0.23580587094563144],[-0.21308161318302155]
