,treino,previsto
gamma1,[0.32940149633680194],[0.3294432759284973]
gamma2,[0.9736705910655336],[0.9729171395301819]
gamma3,[0.36125339691759495],[0.3613254427909851]
gamma4,[0.5536247242149994],[0.5528226494789124]
JXX,[0.4833378712291465],[0.4829045534133911]
JXY,[0.881607766294431],[0.8814873695373535]
JXZ,[0.49480679370832537],[0.494915634393692]
JYX,[0.8162851259228743],[0.8156870603561401]
JYY,[-0.7780454366399887],[-0.778043270111084]
JYZ,[0.15954636399993594],[0.1591273844242096]
JZX,[-0.1362653751785774],[-0.13640877604484558]
JZY,[-0.4690148425097873],[-0.4687124490737915]
JZZ,[0.7208183359380034],[0.7212603688240051]
