,treino,previsto,MAPE,MSE,AE
gamma1,[0.0852413172296076],[0.08525034785270691],0.00010594185299823905,8.155215356188796e-11,9.030623099315349e-06
gamma2,[0.15331752856953773],[0.15336422622203827],0.0003045813021917982,2.180670749061006e-09,4.6697652500538034e-05
gamma3,[0.8252738498040315],[0.8252185583114624],6.699775181564148e-05,3.057149150519889e-09,5.529149256910948e-05
gamma4,[0.9797228526139108],[0.9794798493385315],0.00024803267039342716,5.905059184506516e-08,0.00024300327537929434
JXX,[-0.004926862482795391],[-0.004929068498313427],0.0004477526063979472,4.866504465815189e-12,2.2060155180358976e-06
JXY,[-0.4676525538549188],[-0.46765294671058655],8.400588525310607e-07,1.5433557570261364e-13,3.9285566777458314e-07
JXZ,[0.27482232288738184],[0.27487683296203613],0.00019834660475025455,2.9713482388163088e-09,5.4510074654290364e-05
JYX,[-0.5150404916324747],[-0.5150007009506226],7.725738558145902e-05,1.5832983622561798e-09,3.979068185211432e-05
JYY,[-0.053662840025089587],[-0.05358400568366051],0.0014690676339944178,6.2148533885566496e-09,7.88343414290793e-05
JYZ,[0.9406722982235067],[0.9405581951141357],0.00012129953182046136,1.3019519568127827e-08,0.00011410310937098878
JZX,[-0.8296238699780065],[-0.8295260071754456],0.00011796044701987733,9.57712812508666e-09,9.786280256096624e-05
JZY,[-0.36524216496358974],[-0.3651679456233978],0.00020320583796592994,5.508510458523458e-09,7.421934019191667e-05
JZZ,[0.35288790697896677],[0.3527829051017761],0.00029755022803007344,1.1025394213559695e-08,0.00010500187719064691
