,treino,previsto,MAPE,MSE,AE
gamma1,[0.938376856028435],[0.9298535585403442],0.009083021851332296,7.264660007049452e-05,0.008523297488090775
gamma2,[0.48927495777210683],[0.5167390704154968],0.05613226715801415,0.000754277483288814,0.027464112643389993
gamma3,[0.4216392913626552],[0.4334429204463959],0.027994613703086486,0.00013932565954652846,0.011803629083740663
gamma4,[0.6132160618037519],[0.5896614789962769],0.038411555526106256,0.0005548183712341979,0.023554582807475022
JXX,[-0.19204385011266734],[-0.2842765152454376],0.480268777566476,0.00850686451749374,0.09223266513277029
JXY,[-0.5998491108501092],[-0.5767072439193726],0.038579480259527,0.0005355460050399207,0.02314186693073661
JXZ,[-0.6423953588267755],[-0.6387786269187927],0.005630071665816619,1.308074969422039e-05,0.0036167319079827287
JYX,[-0.5031373629980624],[-0.5243746042251587],0.042209628600327245,0.0004510204149378766,0.02123724122709625
JYY,[0.5197548730161559],[0.4507969617843628],0.13267390997534642,0.004755193521451853,0.06895791123179307
JYZ,[-0.4976979832495598],[-0.4826015532016754],0.03033251199716965,0.00022790220019066736,0.015096430047884413
JZX,[-0.23386483593564344],[-0.20687364041805267],0.11541365511238465,0.0007285246354688122,0.02699119551759077
JZY,[0.3686172768546372],[0.3227936029434204],0.12431233365463543,0.002099809090721529,0.04582367391121678
JZZ,[0.07725826039666361],[0.03575271740555763],0.5372311359070984,0.001722710098986547,0.04150554299110598
