,treino,previsto
gamma1,[0.3841711045442975],[0.38408443331718445]
gamma2,[0.7463951961663844],[0.7462319731712341]
gamma3,[0.252383767513222],[0.25246280431747437]
gamma4,[0.5016026705680338],[0.5017216205596924]
JXX,[0.0439678194249864],[0.04423338547348976]
JXY,[0.6133815542373582],[0.6129965782165527]
JXZ,[0.9209895486477535],[0.9208246469497681]
JYX,[-0.420749244471069],[-0.42031484842300415]
JYY,[0.5322148755959053],[0.5325080156326294]
JYZ,[0.4084397336868253],[0.408233642578125]
JZX,[0.3227661144476608],[0.32300063967704773]
JZY,[-0.7796759021655764],[-0.7798498868942261]
JZZ,[-0.9461264424189464],[-0.9457526206970215]
