,treino,previsto
gamma1,[0.31450434093874435],[0.2587863504886627]
gamma2,[0.25508215274135215],[0.18557994067668915]
gamma3,[0.33905230728624136],[0.326809287071228]
gamma4,[0.27594881602881005],[0.2598235309123993]
JXX,[-0.25881137975062707],[-0.2311190962791443]
JXY,[0.8152502726521875],[0.8237479329109192]
JXZ,[-0.2079467635711556],[-0.14129787683486938]
JYX,[-0.587893141865695],[-0.48927339911460876]
JYY,[0.6355952820309936],[0.5759884715080261]
JYZ,[0.5175681866126696],[0.41130542755126953]
JZX,[0.3965657038489854],[0.3139444589614868]
JZY,[-0.95637294402159],[-1.1144425868988037]
JZZ,[-0.18553914661270632],[-0.2015436738729477]
