,treino,previsto
gamma1,[0.8133552610220813],[0.7933293581008911]
gamma2,[0.5073148980567306],[0.4942297637462616]
gamma3,[0.8356936602931708],[0.8382632732391357]
gamma4,[0.1828740263841231],[0.18440507352352142]
JXX,[0.11578945815114117],[0.10358349978923798]
JXY,[0.22266613301352445],[0.2049732655286789]
JXZ,[-0.7090570694820459],[-0.701559841632843]
JYX,[0.2613011697101677],[0.2689071297645569]
JYY,[0.0012395531300626317],[-0.01108329463750124]
JYZ,[0.7022376698246666],[0.6912147998809814]
JZX,[-0.9432975078310775],[-0.9254139065742493]
JZY,[0.9143518581561754],[0.8989120125770569]
JZZ,[-0.6546403051549412],[-0.6232891082763672]
JIX,[0.598230738233454],[0.6077561974525452]
JIY,[-0.34818771187492725],[-0.34917816519737244]
JIZ,[-0.5190129698346531],[-0.47649890184402466]
JXI,[0.6451117387363627],[0.6345829963684082]
JYI,[-0.7698749260257931],[-0.7667140960693359]
JZI,[-0.047526449664778925],[0.0023239541333168745]
