,treino,previsto
gamma1,[0.8419027314789557],[0.9836210608482361]
gamma2,[0.5995547289462685],[0.6276394724845886]
gamma3,[0.9174626648558603],[0.8754925727844238]
gamma4,[0.9721691074362717],[0.7712613344192505]
JIX,[0.07816312921162116],[0.37155306339263916]
JIY,[-0.42160711272055895],[-0.45148733258247375]
JIZ,[-0.9399261828977459],[-0.97798091173172]
JXI,[0.3072715077855237],[0.0963127538561821]
JYI,[-0.5799826089005378],[-0.3825802803039551]
JZI,[-0.48544605004078156],[-0.51334148645401]
JXX,[-0.20560347473354512],[-0.3363754153251648]
JXY,[0.2831563075493455],[0.21372981369495392]
JXZ,[0.9776224208074429],[0.803095817565918]
JYX,[-0.07693397987474992],[-0.038242608308792114]
JYY,[0.9869700152033374],[1.0176507234573364]
JYZ,[0.9851439883172557],[1.2889533042907715]
JZX,[-0.5146489288531135],[-0.35988491773605347]
JZY,[-0.8547097742573173],[-0.8593509793281555]
JZZ,[-0.680197955540764],[-0.7468562722206116]
