,treino,previsto,MAPE,MSE,AE
gamma1,[0.149835057407401],[0.12769633531570435],0.14775395341226147,0.0004901230158533773,0.02213872209169665
gamma2,[0.7231696718848062],[0.6526697278022766],0.09748741799249502,0.004970242115639797,0.07049994408252958
gamma3,[0.16751077963049055],[0.17858444154262543],0.06610716000822216,0.00012262598814426673,0.01107366191213488
gamma4,[0.654655200922515],[0.6466450691223145],0.01223564983355043,6.416221145658319e-05,0.008010131800200493
JIX,[-0.23795862000845713],[-0.17783930897712708],0.2526460736290763,0.003614331558881804,0.06011931103133006
JIY,[-0.5385616273790497],[-0.5636045336723328],0.04649961122398613,0.000627147155614158,0.025042906293283096
JIZ,[-0.6679265513717296],[-0.5069378614425659],0.2410275345373516,0.025917358285108417,0.1609886899291637
JXI,[0.8276668695454259],[0.6565238237380981],0.20677769293982196,0.029289942128209085,0.17114304580732775
JYI,[0.155878050571864],[0.20532406866550446],0.3172096258083784,0.00244490870531662,0.049446018093640465
JZI,[0.38026531463053437],[0.28996509313583374],0.23746636366884077,0.008154130001991992,0.09030022149470063
JXX,[0.10611895139196825],[0.4131447374820709],2.89322295464503,0.09426483332424548,0.30702578609010267
JXY,[-0.2329118720894543],[-0.5611032843589783],1.4090797919630123,0.10770960308746465,0.328191412269524
JXZ,[0.46324841325362565],[0.7453674077987671],0.6090015345410003,0.07959112708316154,0.28211899454514144
JYX,[0.15285591795039477],[0.5092345476150513],2.3314676621176647,0.12700572768165838,0.3563786296646565
JYY,[0.562419135109645],[0.824099600315094],0.4652766039946946,0.06847666587014019,0.26168046520544896
JYZ,[0.3231619447148433],[0.20809347927570343],0.3560705934625928,0.013240751738518521,0.11506846543913984
JZX,[0.6785960349192279],[0.7347488403320312],0.08274850208856155,0.003153137555728154,0.05615280541280332
JZY,[-0.12121097819798488],[0.08057881146669388],1.664781463400759,0.040719119212915295,0.20178978966467875
JZZ,[-0.6899011584123196],[-0.31797876954078674],0.5390951795579583,0.13832626334390768,0.37192238887153284
