,treino,previsto,MAPE,MSE,AE
gamma1,[0.7808225146632043],[0.7796813249588013],0.0014615225393382226,1.3023139414354587e-06,0.0011411897044030228
gamma2,[0.4458428536123128],[0.4457491934299469],0.0002100744278102498,8.772229760812816e-09,9.366018236589557e-05
gamma3,[0.09635672042981958],[0.09641215205192566],0.000575275101298789,3.07266472931165e-09,5.5431622106083545e-05
gamma4,[0.031698349795664105],[0.03157082200050354],0.004023168271617998,1.626333853851494e-08,0.00012752779516056467
JXX,[0.3478791069281282],[0.34777963161468506],0.0002859479384131911,9.895337984607036e-09,9.947531344312033e-05
JXY,[0.19605110908336165],[0.19673381745815277],0.003482297947627671,4.660907250099309e-07,0.0006827083747911189
JXZ,[0.4292474339778447],[0.4289347529411316],0.0007284400836494056,9.776943071998766e-08,0.00031268103671311387
JYX,[-0.17894815197709124],[-0.17892813682556152],0.0001118488864432636,4.0060629075755505e-10,2.0015151529717556e-05
JYY,[-0.2398214007224022],[-0.2396642416715622],0.0006553170416260359,2.469896726093495e-08,0.0001571590508400167
JYZ,[-0.20020701514138461],[-0.2007511407136917],0.0027178147175454356,2.9607263843852586e-07,0.000544125572307097
JZX,[-0.8548967912090066],[-0.8546443581581116],0.0002952789781068988,6.372244518418911e-08,0.0002524330508950623
JZY,[-0.36047022384573424],[-0.3599015176296234],0.001577678760934794,3.2342676024309335e-07,0.0005687062161108258
JZZ,[-0.448333704823876],[-0.44809043407440186],0.0005426108875078527,5.9180657549722946e-08,0.00024327074947416705
JIX,[0.819538475847744],[0.8199447989463806],0.0004957950244085042,1.650984604856812e-07,0.0004063230986366406
JIY,[-0.41184191848264295],[-0.41141360998153687],0.001039982774662945,1.83448172119745e-07,0.0004283085011060894
JIZ,[-0.08113224133756103],[-0.08110252767801285],0.00036623738058157607,8.829015637451851e-10,2.9713659548180615e-05
JXI,[-0.7272825789128776],[-0.7258642911911011],0.0019501192011178979,2.011540061742104e-06,0.0014182877217765455
JYI,[0.9901214406925392],[0.990117609500885],3.8694159086858784e-06,1.467802949080327e-11,3.831191654146693e-06
JZI,[-0.6907120075849054],[-0.6889621019363403],0.0025334808564912996,3.062169778879802e-06,0.001749905648565031
