,treino,previsto
gamma1,[0.8133552610220813],[0.8130903840065002]
gamma2,[0.5073148980567306],[0.5071479678153992]
gamma3,[0.8356936602931708],[0.8355499505996704]
gamma4,[0.1828740263841231],[0.18282684683799744]
JIX,[0.598230738233454],[0.5981501340866089]
JIY,[-0.34818771187492725],[-0.34788766503334045]
JIZ,[-0.5190129698346531],[-0.5192617774009705]
JXI,[0.6451117387363627],[0.645052433013916]
JYI,[-0.7698749260257931],[-0.7694287896156311]
JZI,[-0.047526449664778925],[-0.04791504144668579]
JXX,[0.11578945815114117],[0.11563248932361603]
JXY,[0.22266613301352445],[0.22264377772808075]
JXZ,[-0.7090570694820459],[-0.7090425491333008]
JYX,[0.2613011697101677],[0.2613201141357422]
JYY,[0.0012395531300626317],[0.001313247368671]
JYZ,[0.7022376698246666],[0.7018532156944275]
JZX,[-0.9432975078310775],[-0.9432833790779114]
JZY,[0.9143518581561754],[0.9138913750648499]
JZZ,[-0.6546403051549412],[-0.6546310782432556]
