,treino,previsto
gamma1,[0.4494007558523254],[0.44223552942276]
gamma2,[0.20865257233244294],[0.19591215252876282]
gamma3,[0.316903983245593],[0.30938273668289185]
gamma4,[0.9086358448961127],[0.8754355907440186]
JIX,[0.8112793523490414],[0.7506228089332581]
JIY,[0.3725083140534051],[0.3521673381328583]
JIZ,[0.5330185127252884],[0.5612517595291138]
JXI,[0.8092324756265472],[0.7797001004219055]
JYI,[-0.4803451050220462],[-0.4773532450199127]
JZI,[0.2714517392119784],[0.22053010761737823]
JXX,[0.8098913893329576],[0.834172785282135]
JXY,[0.7442607481394212],[0.7356558442115784]
JXZ,[0.14588133849844365],[0.13808763027191162]
JYX,[-0.6612438257488602],[-0.6611596941947937]
JYY,[-0.17695387591808664],[-0.19072362780570984]
JYZ,[0.9876760255546593],[0.9891090393066406]
JZX,[-0.7935044001776401],[-0.8147148489952087]
JZY,[-0.36172170230142053],[-0.31353700160980225]
JZZ,[0.9000782159070004],[0.8590565919876099]
